"商品コード","JANコード","商品名","商品名カナ","原価","売価","分類","使用区分","作成日時","作成者コード","作成者名","更新日時","更新者コード","更新者名"
"商品コード","JANコード","商品名","商品名カナ","原価","売価","分類","使用区分","作成日時","作成者コード","作成者名","更新日時","更新者コード","更新者名"
"10000001","4900000000011","カップラーメン醤油","ｶｯﾌﾟﾗｰﾒﾝｼｮｳﾕ","120.00","180","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000002","4900000000028","カップラーメン味噌","ｶｯﾌﾟﾗｰﾒﾝﾐｿ","125.00","187","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000003","4900000000035","ペットボトル緑茶500ml","ﾘｮｸﾁｬ500ML","80.00","120","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000004","4900000000042","ミネラルウォーター500ml","ﾐﾈﾗﾙｳｫｰﾀｰ500ML","60.00","90","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000005","4900000000059","ポテトチップスうすしお","ﾎﾟﾃﾄﾁｯﾌﾟｽｳｽｼｵ","100.00","150","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000006","4900000000066","ボールペン黒","ﾎﾞｰﾙﾍﾟﾝｸﾛ","50.00","75","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000007","4900000000073","ノートB5","ﾉｰﾄB5","120.00","180","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000008","4900000000080","クリアファイルA4","ｸﾘｱﾌｧｲﾙA4","80.00","120","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000009","4900000000097","ティッシュペーパー5箱","ﾃｨｯｼｭﾍﾟｰﾊﾟｰ5ﾊﾟｯｸ","250.00","375","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000010","4900000000103","トイレットペーパー12ロール","ﾄｲﾚｯﾄﾍﾟｰﾊﾟｰ12R","300.00","450","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000011","4900000000110","Tシャツ白M","TｼｬﾂｼﾛM","500.00","750","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000012","4900000000127","靴下3足セット","ｸﾂｼﾀ3ｿｸ","300.00","450","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000013","4900000000134","ハンドタオル","ﾊﾝﾄﾞﾀｵﾙ","150.00","225","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000014","4900000000141","折りたたみ傘","ｵﾘﾀﾀﾐｶｻ","700.00","1050","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000015","4900000000158","エコバッグ","ｴｺﾊﾞｯｸﾞ","250.00","375","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000016","4900000000165","おにぎり鮭","ｵﾆｷﾞﾘｻｹ","110.00","165","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000017","4900000000172","おにぎり梅","ｵﾆｷﾞﾘｳﾒ","105.00","157","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000018","4900000000189","サンドイッチたまご","ｻﾝﾄﾞｲｯﾁﾀﾏｺﾞ","220.00","330","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000019","4900000000196","サンドイッチハム","ｻﾝﾄﾞｲｯﾁﾊﾑ","230.00","345","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000020","4900000000202","菓子パンあんぱん","ｶｼﾊﾟﾝｱﾝﾊﾟﾝ","98.00","147","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000021","4900000000219","菓子パンメロンパン","ｶｼﾊﾟﾝﾒﾛﾝﾊﾟﾝ","108.00","162","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000022","4900000000226","食パン8枚切","ｼｮｸﾊﾟﾝ8ﾏｲｷﾞﾘ","138.00","207","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000023","4900000000233","ロールパン6個入","ﾛｰﾙﾊﾟﾝ6ｺｲﾘ","148.00","222","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000024","4900000000240","牛乳1L","ｷﾞｭｳﾆｭｳ1L","188.00","282","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000025","4900000000257","ヨーグルトプレーン","ﾖｰｸﾞﾙﾄﾌﾟﾚｰﾝ","128.00","192","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000026","4900000000264","たまご10個入","ﾀﾏｺﾞ10ｺｲﾘ","218.00","327","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000027","4900000000271","納豆3個パック","ﾅｯﾄｳ3ｺﾊﾟｯｸ","88.00","132","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000028","4900000000288","豆腐もめん","ﾄｳﾌﾓﾒﾝ","58.00","87","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000029","4900000000295","豆腐きぬ","ﾄｳﾌｷﾇ","58.00","87","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000030","4900000000301","バナナ1袋","ﾊﾞﾅﾅ1ﾌｸﾛ","198.00","297","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000031","4900000000318","りんご1個","ﾘﾝｺﾞ1ｺ","128.00","192","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000032","4900000000325","みかん袋入","ﾐｶﾝﾌｸﾛｲﾘ","298.00","447","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000033","4900000000332","レタス1玉","ﾚﾀｽ1ﾀﾏ","158.00","237","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000034","4900000000349","キャベツ1玉","ｷｬﾍﾞﾂ1ﾀﾏ","178.00","267","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000035","4900000000356","きゅうり3本入","ｷｭｳﾘ3ﾎﾝｲﾘ","138.00","207","1","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000036","4900000000363","シャープペンシル0.5","ｼｬｰﾌﾟﾍﾟﾝｼﾙ0.5","98.00","147","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000037","4900000000370","消しゴム白","ｹｼｺﾞﾑｼﾛ","68.00","102","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000038","4900000000387","油性マーカー黒","ﾕｾｲﾏｰｶｰｸﾛ","120.00","180","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
