取引先コード,取引先名,取引先名カナ,郵便番号,都道府県,住所1,住所2,電話番号,FAX番号,配送業者コード,配送業者名,備考,使用区分,作成日時,作成者コード,作成者名,更新日時,更新者コード,更新者名
SUP055,追加商事55,ツイカショウジ55,100-0055,東京都,中央区,55-55-55,03-9000-0055,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP054,追加商事54,ツイカショウジ54,100-0054,東京都,中央区,54-54-54,03-9000-0054,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP053,追加商事53,ツイカショウジ53,100-0053,東京都,中央区,53-53-53,03-9000-0053,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP052,追加商事52,ツイカショウジ52,100-0052,東京都,中央区,52-52-52,03-9000-0052,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP051,追加商事51,ツイカショウジ51,100-0051,東京都,中央区,51-51-51,03-9000-0051,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP049,沖縄物流49,オキナワブツリュウ49,900-0049,沖縄県,那覇市,49-49-49,098-900-0049,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP048,沖縄物流48,オキナワブツリュウ48,900-0048,沖縄県,那覇市,48-48-48,098-900-0048,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP047,沖縄物流47,オキナワブツリュウ47,900-0047,沖縄県,那覇市,47-47-47,098-900-0047,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP046,沖縄物流46,オキナワブツリュウ46,900-0046,沖縄県,那覇市,46-46-46,098-900-0046,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP045,四国配送45,シコクハイソウ45,760-0045,香川県,高松市,45-45-45,087-800-0045,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP044,四国配送44,シコクハイソウ44,760-0044,香川県,高松市,44-44-44,087-800-0044,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP043,四国配送43,シコクハイソウ43,760-0043,香川県,高松市,43-43-43,087-800-0043,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP042,四国配送42,シコクハイソウ42,760-0042,香川県,高松市,42-42-42,087-800-0042,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP041,四国配送41,シコクハイソウ41,760-0041,香川県,高松市,41-41-41,087-800-0041,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP040,東北物流40,トウホクブツリュウ40,980-0040,宮城県,仙台市,40-40-40,022-700-0040,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP039,東北物流39,トウホクブツリュウ39,980-0039,宮城県,仙台市,39-39-39,022-700-0039,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP038,東北物流38,トウホクブツリュウ38,980-0038,宮城県,仙台市,38-38-38,022-700-0038,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP037,東北物流37,トウホクブツリュウ37,980-0037,宮城県,仙台市,37-37-37,022-700-0037,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP036,東北物流36,トウホクブツリュウ36,980-0036,宮城県,仙台市,36-36-36,022-700-0036,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP035,関東商事35,カントウショウジ35,220-0035,神奈川県,横浜市,35-35-35,045-600-0035,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP034,関東商事34,カントウショウジ34,220-0034,神奈川県,横浜市,34-34-34,045-600-0034,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP033,関東商事33,カントウショウジ33,220-0033,神奈川県,横浜市,33-33-33,045-600-0033,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP032,関東商事32,カントウショウジ32,220-0032,神奈川県,横浜市,32-32-32,045-600-0032,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP031,関東商事31,カントウショウジ31,220-0031,神奈川県,横浜市,31-31-31,045-600-0031,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP030,九州配送30,キュウシュウハイソウ30,810-0030,福岡県,福岡市,30-30-30,092-500-0030,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
